iter	Passed	Remaining
796	1695	431
797	1697	429
798	1698	427
799	1700	425
800	1702	422
801	1703	420
802	1705	418
803	1707	416
804	1709	414
805	1711	411
806	1712	409
807	1714	407
808	1716	405
809	1718	403
810	1719	400
811	1721	398
812	1723	396
813	1724	394
814	1726	391
815	1727	389
816	1729	387
817	1731	385
818	1732	382
819	1734	380
820	1737	378
821	1739	376
822	1740	374
823	1742	372
824	1743	369
825	1745	367
826	1747	365
827	1749	363
828	1752	361
829	1754	359
830	1756	357
831	1758	355
832	1759	352
833	1761	350
834	1763	348
835	1765	346
836	1767	344
837	1769	342
838	1770	339
839	1772	337
840	1774	335
841	1775	333
842	1777	331
843	1779	328
844	1781	326
845	1783	324
846	1784	322
847	1786	320
848	1788	318
849	1789	315
850	1791	313
851	1793	311
852	1794	309
853	1797	307
854	1799	305
855	1800	302
856	1802	300
857	1804	298
858	1806	296
859	1807	294
860	1809	292
861	1812	290
862	1813	287
863	1815	285
864	1817	283
865	1818	281
866	1820	279
867	1822	277
868	1823	274
869	1826	272
870	1828	270
871	1829	268
872	1831	266
873	1833	264
874	1834	262
875	1836	259
876	1837	257
877	1839	255
878	1842	253
879	1844	251
880	1846	249
881	1847	247
882	1849	245
883	1851	242
884	1853	240
885	1855	238
886	1857	236
887	1858	234
888	1860	232
889	1861	230
890	1863	228
891	1865	225
892	1867	223
893	1868	221
894	1871	219
895	1873	217
896	1874	215
897	1876	213
898	1878	211
899	1879	208
900	1881	206
901	1883	204
902	1886	202
903	1887	200
904	1889	198
905	1891	196
906	1892	194
907	1894	191
908	1896	189
909	1897	187
910	1900	185
911	1901	183
912	1903	181
913	1905	179
914	1906	177
915	1908	175
916	1910	172
917	1912	170
918	1913	168
919	1915	166
920	1917	164
921	1918	162
922	1920	160
923	1921	158
924	1923	155
925	1925	153
926	1927	151
927	1929	149
928	1931	147
929	1933	145
930	1934	143
931	1936	141
932	1938	139
933	1940	137
934	1941	134
935	1943	132
936	1945	130
937	1947	128
938	1948	126
939	1950	124
940	1952	122
941	1954	120
942	1955	118
943	1957	116
944	1960	114
945	1961	111
946	1963	109
947	1964	107
948	1966	105
949	1968	103
950	1969	101
951	1971	99
952	1974	97
953	1976	95
954	1977	93
955	1979	91
956	1981	89
957	1982	86
958	1984	84
959	1986	82
960	1988	80
961	1990	78
962	1991	76
963	1993	74
964	1995	72
965	1996	70
966	1998	68
967	2000	66
968	2001	64
969	2004	61
970	2005	59
971	2007	57
972	2009	55
973	2011	53
974	2012	51
975	2014	49
976	2016	47
977	2019	45
978	2020	43
979	2022	41
980	2023	39
981	2025	37
982	2026	35
983	2028	32
984	2030	30
985	2032	28
986	2034	26
987	2036	24
988	2038	22
989	2040	20
990	2041	18
991	2043	16
992	2044	14
993	2047	12
994	2049	10
995	2051	8
996	2052	6
997	2054	4
998	2055	2
999	2057	0
